Citrobacter youngae,,Acinetobacter ursingii,,,Pseudomonas mendocina,Staphylococcus equorum linens,,,,,,Streptococcus lutetiensis,,Anaerococcus octavius,,,Aeromonas taiwanensis,Bacillus pumilus,,Cellulomonas cartae,,,,,Lactobacillus plantarum argentoratensis,,,,,,,,,Vibrio sp.,,
Cronobacter malonaticus,,Acinetobacter variabilis,,,Pseudomonas mesophilica,Staphylococcus gallinarum,,,,,,Streptococcus pasteurianus,,Anaerococcus prevotii,,,Aeromonas tecta,Bacillus sphaericus,,Cellulomonas cellulans,,,,,Lactobacillus plantarum plantarum,,,,,,,,,,,
Cronobacter sakazakii,,Acinetobacter sp.,,,Pseudomonas monteilii,Staphylococcus haemolyticus,,,,,,Streptococcus salivarius,,Anaerococcus vaginalis,,,Aeromonas veronii,Bacillus subtilis inaquosorum,,Cellulomonas denverensis,,,,,Lactobacillus rhamnosus,,,,,,,,,,,
Cronobacter turicensis,,,,,Pseudomonas mosselii,Staphylococcus hominis,,,,,,Streptococcus vestibularis,,Anaeroglobus geminatus,,,Aeromonas sp.,Bacillus subtilis spizizenii,,Cellulomonas hominis,,,,,Lactobacillus rimae,,,,,,,,,,,
Edwardsiella anguillimortifera,,,,,Pseudomonas nosocomialis,Staphylococcus hominis hominis,,,,,,Streptococcus thermophilus,,Anaerostipes caccae,,,,Bacillus subtilis stercoris,,Cellulomonas turbata,,,,,Lactobacillus sp.,,,,,,,,,,,
Edwardsiella hoshinae,,,,,Pseudomonas oleovorans,Staphylococcus hominis novobiosepticus,,,,,,Streptococcus mutans,,Atopobium deltae,,,,Bacillus subtilis subtilis,,Cellulosimicrobium aquatile,,,,,,,,,,,,,,,,
Edwardsiella tarda,,,,,Pseudomonas oleovorans,Staphylococcus hyicus,,,,,,Streptococcus sobrinus,,Atopobium minutum,,,,Bacillus thiaminolyticus,,Cellulosimicrobium cellulans,,,,,,,,,,,,,,,,
Enterobacter aerogenes,,,,,Pseudomonas oryzihabitans,Staphylococcus hyicus chromogenes,,,,,,,,Atopobium minutus,,,,Bacillus thuringiensis aizawai,,Cellulosimicrobium funkei,,,,,,,,,,,,,,,,
Enterobacter agglomerans,,,,,Pseudomonas otitidis,Staphylococcus hyicus hyicus,,,,,,,,Atopobium rimae,,,,Bacillus thuringiensis israelensis,,Corynebacterium accolens,,,,,,,,,,,,,,,,
Enterobacter amnigenus,,,,,Pseudomonas paucimobilis,Staphylococcus intermedius,,,,,,,,Bacteroides asaccharolyticus,,,,Bacillus thuringiensis kurstaki,,Corynebacterium afermentans afermentans,,,,,,,,,,,,,,,,
Enterobacter asburiae,,,,,Pseudomonas perfectomarina,Staphylococcus lentus,,,,,,,,Bacteroides bivius,,,,Bacillus thuringiensis thuringiensis,,Corynebacterium afermentans lipophilum,,,,,,,,,,,,,,,,
Enterobacter bugandensis,,,,,Pseudomonas pickettii,Staphylococcus lugdunensis,,,,,,,,Bacteroides buccae,,,,Bacillus wakoensis,,Corynebacterium amycolatum,,,,,,,,,,,,,,,,
Enterobacter cancerogena,,,,,Pseudomonas poae,Staphylococcus massiliensis,,,,,,,,Bacteroides buccalis,,,,Bacillus weihenstephanensis,,Corynebacterium appendicis,,,,,,,,,,,,,,,,
Enterobacter cancerogenus,,,,,Pseudomonas pseudoalcaligenes,Staphylococcus pasteuri,,,,,,,,Bacteroides caccae,,,,Brevibacillus agri,,Corynebacterium aquatimens,,,,,,,,,,,,,,,,
Enterobacter cloacae,,,,,Pseudomonas pseudoalcaligenes,Staphylococcus pettenkoferi,,,,,,,,Bacteroides capillus,,,,Brevibacillus brevis,,Corynebacterium argentoratense,,,,,,,,,,,,,,,,
Enterobacter cloacae cloacae,,,,,Pseudomonas pseudoalcaligenes,Staphylococcus pseudintermedius,,,,,,,,Bacteroides coagulans,,,,Brevibacillus centrosporus,,Corynebacterium aurimucosum,,,,,,,,,,,,,,,,
Enterobacter cloacae dissolvens,,,,,Pseudomonas pseudoalcaligenes,Staphylococcus saccharolyticus,,,,,,,,Bacteroides corporis,,,,Brevibacillus galactophilus,,Corynebacterium auris,,,,,,,,,,,,,,,,
Enterobacter cowanii,,,,,Pseudomonas pseudomallei,Staphylococcus saprophyticus,,,,,,,,Bacteroides denticola,,,,Brevibacillus nitrificans,,Corynebacterium auriscanis,,,,,,,,,,,,,,,,
Enterobacter gergoviae,,,,,Pseudomonas psychrotolerans,Staphylococcus saprophyticus bovis,,,,,,,,Bacteroides disiens,,,,Lysinibacillus fusiformis,,Corynebacterium belfantii,,,,,,,,,,,,,,,,
Enterobacter hormaechei,,,,,Pseudomonas putida,Staphylococcus saprophyticus saprophyticus,,,,,,,,Bacteroides distasonis,,,,Lysinibacillus mangiferihumi,,Corynebacterium betae,,,,,,,,,,,,,,,,
Enterobacter hormaechei hoffmannii,,,,,Pseudomonas shirazica,Staphylococcus schleiferi,,,,,,,,Bacteroides dorei,,,,Lysinibacillus massiliensis,,Corynebacterium bovis,,,,,,,,,,,,,,,,
Enterobacter hormaechei hormaechei,,,,,Pseudomonas stutzeri,Staphylococcus schleiferi coagulans,,,,,,,,Bacteroides eggerthii,,,,Lysinibacillus sphaericus,,Corynebacterium canis,,,,,,,,,,,,,,,,
Enterobacter hormaechei oharae,,,,,Pseudomonas testosteroni,Staphylococcus schleiferi schleiferi,,,,,,,,Bacteroides faecis,,,,Lysinibacillus tabacifolii,,Corynebacterium confusum,,,,,,,,,,,,,,,,
Enterobacter hormaechei steigerwaltii,,,,,Pseudomonas vesicularis,Staphylococcus sciuri,,,,,,,,Bacteroides fluxus,,,,Lysinibacillus varians,,Corynebacterium coyleae,,,,,,,,,,,,,,,,
Enterobacter hormaechei xiangfangensis,,,,,Pseudomonas woodsii,Staphylococcus sciuri carnaticus,,,,,,,,Bacteroides forsythus,,,,Paenibacillus alvei,,Corynebacterium dentalis,,,,,,,,,,,,,,,,
Enterobacter huaxiensis,,,,,Pseudomonas yangonensis,Staphylococcus sciuri lentus,,,,,,,,Bacteroides fragilis,,,,Paenibacillus amylolyticus,,Corynebacterium diphtheriae,,,,,,,,,,,,,,,,
Enterobacter kobei,,,,,Pseudomonas zeshuii,Staphylococcus sciuri rodentium,,,,,,,,Bacteroides galacturonicus,,,,Paenibacillus assamensis,,Corynebacterium diphtheriae diphtheriae,,,,,,,,,,,,,,,,
Enterobacter ludwigii,,,,,Burkholderia ambifaria,Staphylococcus sciuri sciuri,,,,,,,,Bacteroides gingivalis,,,,Paenibacillus cineris,,Corynebacterium diphtheriae lausannense,,,,,,,,,,,,,,,,
Enterobacter muelleri,,,,,Burkholderia andropogonis,Staphylococcus simulans,,,,,,,,Bacteroides goldsteinii,,,,Paenibacillus glucanolyticus,,Corynebacterium durum,,,,,,,,,,,,,,,,
Enterobacter quasihormaechei,,,,,Burkholderia anthina,Staphylococcus succinus,,,,,,,,Bacteroides gracilis,,,,Paenibacillus hodogayensis,,Corynebacterium equi,,,,,,,,,,,,,,,,
Enterobacter sakazakii,,,,,Burkholderia antimicrobica,Staphylococcus succinus casei,,,,,,,,Bacteroides heparinolyticus,,,,Paenibacillus jamilae,,Corynebacterium falsenii,,,,,,,,,,,,,,,,
Enterobacter taylorae,,,,,Burkholderia arboris,Staphylococcus succinus succinus,,,,,,,,Bacteroides hypermegas,,,,Paenibacillus konsidensis,,Corynebacterium fascians,,,,,,,,,,,,,,,,
Enterobacter wuhouensis,,,,,Burkholderia cenocepacia,Staphylococcus warneri,,,,,,,,Bacteroides koreensis,,,,Paenibacillus macerans,,Corynebacterium flaccumfaciens,,,,,,,,,,,,,,,,
Erwinia ananatis,,,,,Burkholderia cocovenenans,Staphylococcus xylosus,,,,,,,,Bacteroides kribbi,,,,Paenibacillus massiliensis massiliensis,,Corynebacterium flaccumfaciens betae,,,,,,,,,,,,,,,,
Erwinia cancerogena,,,,,Burkholderia contaminans,Staphylococcus sp.,,,,,,,,Bacteroides levii,,,,Paenibacillus massiliensis panacisoli,,Corynebacterium flaccumfaciens flaccumfaciens,,,,,,,,,,,,,,,,
Erwinia herbicola,,,,,Burkholderia diffusa,,,,,,,,,Bacteroides loescheii,,,,Paenibacillus polymyxa,,Corynebacterium flaccumfaciens oortii,,,,,,,,,,,,,,,,
Erwinia milletiae,,,,,Burkholderia dolosa,,,,,,,,,Bacteroides macacae,,,,Paenibacillus provencensis,,Corynebacterium flaccumfaciens poinsettiae,,,,,,,,,,,,,,,,
Erwinia persicina,,,,,Burkholderia fungorum,,,,,,,,,Bacteroides massiliensis,,,,Paenibacillus residui,,Corynebacterium fournieri,,,,,,,,,,,,,,,,
Erwinia persicinus,,,,,Burkholderia gladioli,,,,,,,,,Bacteroides melaninogenicus macacae,,,,Paenibacillus sanguinis,,Corynebacterium fournierii,,,,,,,,,,,,,,,,
Erwinia uredovora,,,,,Burkholderia glumae,,,,,,,,,Bacteroides merdae,,,,Paenibacillus sputi,,Corynebacterium freiburgense,,,,,,,,,,,,,,,,
Escherichia adecarboxylata,,,,,Burkholderia lata,,,,,,,,,Bacteroides nodosus,,,,Paenibacillus thermophilus,,Corynebacterium freneyi,,,,,,,,,,,,,,,,
Escherichia albertii,,,,,Burkholderia latens,,,,,,,,,Bacteroides nordii,,,,Paenibacillus thiaminolyticus,,Corynebacterium glucuronolyticum,,,,,,,,,,,,,,,,
Escherichia coli,,,,,Burkholderia metallica,,,,,,,,,Bacteroides oralis,,,,Paenibacillus timonensis,,Corynebacterium godavarianum,,,,,,,,,,,,,,,,
Escherichia fergusonii,,,,,Burkholderia multivorans,,,,,,,,,Bacteroides oris,,,,Paenibacillus turicensis,,Corynebacterium gottingense,,,,,,,,,,,,,,,,
Escherichia vulneris,,,,,Burkholderia oklahomensis,,,,,,,,,Bacteroides oulorum,,,,Paenibacillus vulneris,,Corynebacterium hadale,,,,,,,,,,,,,,,,
Ewingella americana,,,,,Burkholderia pickettii,,,,,,,,,Bacteroides ovatus,,,,Bacillus sp.,,Corynebacterium hansenii,,,,,,,,,,,,,,,,
Hafnia alvei,,,,,Burkholderia pyrrocinia,,,,,,,,,Bacteroides pentosaceus,,,,Bacillus subtilis,,Corynebacterium ihumii,,,,,,,,,,,,,,,,
Hafnia paralvei,,,,,Burkholderia seminalis,,,,,,,,,Bacteroides pneumosintes,,,,Bacillus thuringiensis,,Corynebacterium imitans,,,,,,,,,,,,,,,,
Klebsiella aerogenes,,,,,Burkholderia stabilis,,,,,,,,,Bacteroides praeacutus,,,,Brevibacillus sp.,,Corynebacterium jeikeium,,,,,,,,,,,,,,,,
